Indicator,Measure,Year,Jan-Mar (Provisional),Apr-Jun (Provisional),Jul-Sep (Provisional),Oct-Dec (Provisional),Year-to-Date (Provisional),County,URL
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2016.0,<5,13.0,41,10.0,68,Manatee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=41&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2016.0,7,10.0,23,11.0,51,Manatee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=41&ddlYear=2016&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2016.0,8,12.0,29,10.0,59,Manatee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=41&ddlYear=2016&selTab=1
Opioid Overdose Deaths,Count,2019.0,1,0,1,0,2,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2019&selTab=1
Drug Overdose Deaths,Count,2019.0,1,1,2,1,5,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2019&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2019.0,7,2,8,1,18,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2019&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2019.0,22,33,20,24,99,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2019&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2019.0,15,19,27,12,73,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2019&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,<5,<5,6,<5,12,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2019&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,<5,<5,<5,<5,<5,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2019&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,<5,<5,<5,<5,6,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2019&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2019.0,11,25,12,13,61,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2019&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,6,<5,5,17,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2019&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,<5,<5,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2019&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,<5,7,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2019&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2019.0,1,1,3,0,5,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2019&selTab=1
Opioid Overdose Deaths,Count,2017.0,13,12.0,15.0,12.0,52.0,Clay,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=10&ddlYear=2017&selTab=1
Drug Overdose Deaths,Count,2017.0,15,14.0,17.0,15.0,61.0,Clay,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=10&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2017.0,16,12.0,8.0,11.0,47.0,Clay,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=10&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2017.0,64,48.0,51.0,58.0,221.0,Clay,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=10&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2017.0,148,136.0,120.0,130.0,534.0,Clay,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=10&ddlYear=2017&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,80,72.0,73.0,63.0,288.0,Clay,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=10&ddlYear=2017&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,52,48.0,48.0,39.0,187.0,Clay,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=10&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,<5,6.0,6.0,6.0,20.0,Clay,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=10&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2017.0,86,95.0,98.0,89.0,368.0,Clay,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=10&ddlYear=2017&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2017.0,29,30.0,34.0,38.0,131.0,Clay,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=10&ddlYear=2017&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2017.0,<5,6.0,6.0,5.0,21.0,Clay,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=10&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2017.0,16,7.0,12.0,12.0,47.0,Clay,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=10&ddlYear=2017&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2017.0,7,5.0,11.0,5.0,28.0,Clay,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=10&ddlYear=2017&selTab=1
Opioid Overdose Deaths,Count,2016.0,13.0,18,19.0,24.0,74.0,St. Lucie,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=56&ddlYear=2016&selTab=1
Drug Overdose Deaths,Count,2016.0,15.0,20,25.0,28.0,88.0,St. Lucie,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=56&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2016.0,54.0,64,87.0,37.0,242.0,St. Lucie,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=56&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2016.0,174.0,188,231.0,105.0,698.0,St. Lucie,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=56&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2016.0,101.0,132,150.0,156.0,539.0,St. Lucie,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=56&ddlYear=2016&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,41.0,56,77.0,74.0,248.0,St. Lucie,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=56&ddlYear=2016&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,24.0,27,40.0,38.0,129.0,St. Lucie,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=56&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,6.0,<5,8.0,6.0,23.0,St. Lucie,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=56&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2016.0,108.0,113,120.0,100.0,441.0,St. Lucie,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=56&ddlYear=2016&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2016.0,40.0,38,51.0,35.0,164.0,St. Lucie,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=56&ddlYear=2016&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2016.0,5.0,<5,17.0,12.0,36.0,St. Lucie,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=56&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2016.0,8.0,8,11.0,12.0,39.0,St. Lucie,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=56&ddlYear=2016&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2016.0,15.0,16,10.0,7.0,48.0,St. Lucie,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=56&ddlYear=2016&selTab=1
Opioid Overdose Deaths,Count,2020.0,0,0,,,0,Gulf,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=23&ddlYear=2020&selTab=1
Drug Overdose Deaths,Count,2020.0,0,0,,,0,Gulf,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=23&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2020.0,1,1,2,,4,Gulf,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=23&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2020.0,1,3,13,,17,Gulf,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=23&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2020.0,11,6,10,9,36,Gulf,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=23&ddlYear=2020&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,<5,<5,<5,<5,11,Gulf,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=23&ddlYear=2020&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,<5,<5,<5,<5,<5,Gulf,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=23&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,<5,<5,<5,<5,<5,Gulf,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=23&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2020.0,<5,<5,<5,<5,5,Gulf,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=23&ddlYear=2020&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2020.0,<5,<5,<5,<5,<5,Gulf,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=23&ddlYear=2020&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2020.0,<5,<5,<5,<5,<5,Gulf,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=23&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2020.0,<5,<5,<5,<5,<5,Gulf,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=23&ddlYear=2020&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2020.0,0,1,1,0,2,Gulf,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=23&ddlYear=2020&selTab=1
Opioid Overdose Deaths,Count,2020.0,31.0,28.0,,,59.0,Escambia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=17&ddlYear=2020&selTab=1
Drug Overdose Deaths,Count,2020.0,41.0,38.0,,,79.0,Escambia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=17&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2020.0,1.0,5.0,36.0,,42.0,Escambia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=17&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2020.0,1.0,28.0,275.0,,304.0,Escambia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=17&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2020.0,162.0,168.0,231.0,143.0,704.0,Escambia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=17&ddlYear=2020&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,58.0,77.0,115.0,53.0,303.0,Escambia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=17&ddlYear=2020&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,33.0,51.0,68.0,28.0,180.0,Escambia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=17&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,19.0,13.0,17.0,5.0,54.0,Escambia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=17&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2020.0,158.0,149.0,182.0,127.0,616.0,Escambia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=17&ddlYear=2020&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2020.0,38.0,42.0,33.0,21.0,134.0,Escambia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=17&ddlYear=2020&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2020.0,8.0,22.0,7.0,7.0,44.0,Escambia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=17&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2020.0,26.0,16.0,20.0,18.0,80.0,Escambia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=17&ddlYear=2020&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2020.0,13.0,8.0,7.0,7.0,35.0,Escambia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=17&ddlYear=2020&selTab=1
Opioid Overdose Deaths,Count,2016.0,1,3,2,0,6,Putnam,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=54&ddlYear=2016&selTab=1
Drug Overdose Deaths,Count,2016.0,1,4,2,1,8,Putnam,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=54&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2016.0,22,0,1,2,25,Putnam,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=54&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2016.0,53,5,8,5,71,Putnam,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=54&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2016.0,36,25,37,32,130,Putnam,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=54&ddlYear=2016&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,13,10,7,8,38,Putnam,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=54&ddlYear=2016&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,<5,<5,<5,<5,9,Putnam,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=54&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,<5,<5,<5,<5,7,Putnam,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=54&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2016.0,31,29,30,24,114,Putnam,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=54&ddlYear=2016&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2016.0,11,9,9,9,38,Putnam,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=54&ddlYear=2016&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2016.0,<5,<5,<5,<5,<5,Putnam,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=54&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2016.0,5,<5,5,5,19,Putnam,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=54&ddlYear=2016&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2016.0,6,6,4,4,20,Putnam,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=54&ddlYear=2016&selTab=1
Opioid Overdose Deaths,Count,2019.0,14,22.0,21,15,72.0,Sarasota,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=58&ddlYear=2019&selTab=1
Drug Overdose Deaths,Count,2019.0,16,27.0,26,25,94.0,Sarasota,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=58&ddlYear=2019&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2019.0,4,11.0,15,10,40.0,Sarasota,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=58&ddlYear=2019&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2019.0,37,41.0,47,48,173.0,Sarasota,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=58&ddlYear=2019&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2019.0,117,113.0,139,141,510.0,Sarasota,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=58&ddlYear=2019&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,49,45.0,72,64,230.0,Sarasota,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=58&ddlYear=2019&selTab=1
